,Liczba pokoi,Cena,Cena za m2
1109,3,200.0,3333.33
1113,3,269.0,5037.45
1116,3,264.0,5581.4
1117,3,310.0,5254.24
1121,4,459.0,4781.25
1122,3,319.0,5596.49
1132,3,279.0,5861.34
1133,3,339.0,5557.38
1138,3,320.0,4923.08
1143,3,315.0,5000.0
1145,3,296.7,5298.21
1146,5,750.0,5716.46
1149,3,278.0,4633.33
1153,4,405.0,5159.24
1155,4,305.0,4357.14
1163,3,264.0,5617.02
1164,3,319.9,4101.28
1166,3,289.0,4982.76
1167,3,329.0,4386.67
1171,5,534.42,6000.0
1173,3,419.0,4655.56
1177,4,465.0,5946.29
1180,3,340.0,5074.63
1183,3,400.0,5797.1
1184,4,399.9,4039.39
1189,3,384.395,5994.0
1191,3,312.0,4800.0
1194,3,578.0,5526.34
1198,3,270.0,5869.57
1199,3,408.45599999999996,6200.0
1201,3,334.92800000000005,6050.0
1202,3,265.0,3732.39
1203,3,279.0,4982.14
1219,3,290.0,6144.07
1222,3,225.0,5113.64
1228,4,320.0,4266.67
1229,3,440.0,5804.75
1230,3,279.0,3576.92
1233,3,344.0,5548.39
1239,3,260.0,4642.86
1240,3,325.0,5134.28
1241,3,399.0,5399.19
1242,3,285.0,4298.64
1243,4,335.01099999999997,4593.6
1245,4,289.0,3905.41
1247,3,349.74199999999996,6200.0
1251,3,283.0,4421.88
1253,3,295.0,4557.39
1255,3,349.18800000000005,6250.01
1258,5,475.0,4318.18
1259,5,351.0,4153.85
1261,4,338.921,6050.0
1263,5,697.6,6199.24
1265,3,288.89099999999996,3698.99
1269,3,299.0,4708.66
1272,4,409.0,3752.29
1274,3,345.0,5750.0
1276,3,285.0,5089.29
1277,3,330.0,5030.49
1278,3,280.0,5833.33
1279,3,420.0,5060.24
1281,3,349.74199999999996,6200.0
1292,3,335.606,6200.0
1293,3,352.691,5924.59
1294,3,429.458,5507.99
1296,6,280.0,3456.79
1297,4,329.0,5576.27
1300,3,270.0,4199.07
1307,3,354.0,4849.32
1309,4,330.0,5084.75
1310,4,217.7,2980.97
1311,3,335.0,4745.04
1316,3,360.0,3287.67
1317,3,268.0,5469.39
1318,3,320.0,5000.0
1319,4,450.0,5056.18
1320,4,349.0,5369.23
1321,3,335.606,6200.0
1323,3,316.994,5810.01
1326,3,350.0,4530.74
1327,3,289.0,5452.83
1328,4,359.9,5453.03
1329,4,330.0,3882.35
1330,4,499.0,4415.93
1334,3,329.0,4386.67
1337,3,390.0,4761.9
1338,4,525.0,5675.68
1342,3,270.0,4655.17
1344,3,340.464,6150.0
1345,4,497.58,6000.0
1346,4,331.0,4701.7
1349,4,426.93199999999996,6200.0
1350,4,345.0,4058.82
1353,4,338.921,6050.0
1354,3,300.0,4665.63
1355,3,354.413,5900.0
1357,3,268.5,5066.04
1359,4,335.0,5234.38
1360,4,279.0,4298.92
1361,3,311.36,5600.0
1365,3,429.0,5797.3
1368,3,275.397,6150.0
1370,3,289.0,6020.83
1372,3,299.0,5230.02
1379,4,370.0,5020.35
1381,3,245.0,4711.54
1382,3,339.0,5844.83
1383,3,356.019,6209.99
1384,3,285.0,5377.36
1385,4,399.9,3999.0
1389,3,338.0,4630.14
1390,3,320.77099999999996,6050.0
1391,3,399.0,5884.96
1392,3,264.0,3718.31
1393,5,520.0,3793.96
1394,3,281.865,5700.0
1395,3,333.0,5203.12
1400,3,245.0,5072.46
1404,3,399.0,4639.53
1406,4,403.97900000000004,5738.34
1407,4,484.13199999999995,6210.01
1409,3,310.401,5965.81
1411,3,275.0,5188.68
1412,3,418.0,5358.97
1417,3,279.0,6131.87
1420,3,330.0,5789.47
1421,3,439.0,5701.3
1423,3,1100.0,4280.16
1425,3,346.5,5250.0
1426,3,410.0,4880.95
1431,3,465.0,5812.5
1436,4,499.0,4455.36
1440,4,365.0,5119.21
1443,3,433.851,6089.14
1447,3,259.0,4886.79
1448,3,390.0,5131.58
1450,3,239.0,4526.52
1451,3,410.0,4533.89
1452,4,419.0,5237.5
1455,4,473.333,5777.99
1456,3,312.442,6100.0
1457,3,305.0,4692.31
1458,3,260.0,4333.33
1459,4,444.0,4268.0
1461,3,530.0,5486.54
1463,3,210.0,3716.81
1464,3,300.0,4285.71
1466,4,400.0,4000.0
1470,3,295.0,4557.39
1473,3,351.0,5661.29
1475,3,399.0,4987.5
1477,3,414.0,5594.59
1478,3,430.0,4971.1
1480,3,334.06800000000004,6150.0
1484,3,265.0,5018.94
1485,3,360.42,6000.0
1488,3,210.0,3888.89
1491,3,308.611,5965.8
1493,3,299.0,5329.77
1496,3,269.0,4803.57
1500,3,207.0,2995.66
1501,3,439.0,5948.51
1502,3,250.0,5102.04
1507,3,295.0,4469.7
1510,3,339.0,5296.88
1512,3,200.0,3333.33
1513,3,648.0,6230.77
1514,4,350.0,4729.73
1515,3,344.0,5504.0
1517,4,513.5,5705.56
1518,3,408.45599999999996,6200.0
1523,4,599.0,4572.52
1526,3,235.0,3488.72
1528,4,350.0,5468.75
1531,3,320.0,5161.29
1533,3,405.769,5868.8
1552,3,359.0,4378.05
1554,4,310.0,4138.85
1557,4,460.0,5750.0
1558,3,356.014,5660.0
1561,3,369.0,5765.62
1567,3,229.0,6026.32
1568,4,525.0,5675.68
1575,3,299.0,5067.8
1577,4,370.0,5000.0
1580,3,405.0,5150.71
1583,4,419.0,5237.5
1585,3,560.0,5333.33
1588,3,279.0,4359.38
1593,3,299.0,5067.8
1595,3,267.0,5393.94
1597,3,265.0,4226.48
1601,4,390.0,3000.0
1602,3,290.0,6170.21
1614,4,450.0,3671.97
1621,3,275.0,5851.06
1627,4,334.724,4589.66
1631,4,450.0,3461.54
1634,3,329.0,4693.3
1635,3,363.13300000000004,6100.0
1638,4,652.6,6199.3
1646,3,310.0,5149.5
1647,3,300.0,4285.71
1653,3,425.0,3951.65
1655,3,278.0,4633.33
1657,3,335.0,4718.31
1658,3,335.0,5775.86
1663,3,329.27099999999996,6150.0
1667,3,317.819,5710.01
1669,3,345.0,5750.0
1670,4,777.0,5012.9
1672,5,429.0,4290.0
1675,4,340.0,4788.73
1681,3,350.0,4545.45
1686,3,274.0,3468.35
1691,3,354.6,6000.0
1692,3,289.0,5452.83
1696,3,299.73,4881.6
1702,3,380.0,3865.72
1703,4,334.769,4590.28
1704,3,245.0,5104.17
1705,3,329.27099999999996,6150.0
1710,3,268.5,5066.04
1711,4,474.725,5832.0
1712,3,410.0,6119.4
1718,3,233.0,4236.36
1722,3,410.0,4606.74
1723,3,338.0,4567.57
1724,4,350.0,4375.0
1725,3,299.0,5067.8
1728,4,338.921,6050.0
1732,3,299.0,4619.19
1735,3,348.36699999999996,5710.0
1736,3,284.0,5680.0
1737,4,210.0,2459.02
1742,3,305.0,5754.72
1743,3,298.0,4656.25
1744,3,364.0,4715.03
1745,3,300.0,5357.14
1746,3,298.0,6208.33
1751,3,345.0,4617.86
1754,4,396.272,5723.99
1759,3,299.0,4614.2
1762,3,309.0,4850.86
1764,4,350.0,4375.0
1765,3,318.0,4575.54
1768,4,420.0,4200.0
1780,3,316.0,5039.87
1783,4,825.0,5658.44
1784,4,340.0,4788.73
1788,3,290.0,4531.25
1789,4,360.0,4067.8
1796,3,350.0,6140.35
1800,3,264.0,5617.02
1802,3,299.0,5067.8
1804,3,346.0,5290.52
1805,5,550.0,4661.02
1810,3,374.999,5514.69
1812,3,459.0,5810.13
1819,3,335.0,5714.77
1820,3,345.0,4480.52
1821,3,385.0,4966.46
1822,3,308.611,5965.8
1825,3,328.61400000000003,5810.01
1831,3,340.0,5230.77
1838,3,353.88199999999995,5900.0
1841,3,284.0,4515.1
1850,3,256.0,4571.43
1852,3,377.0,5890.62
1855,4,299.0,3986.67
1856,3,279.0,4982.14
1858,3,329.0,5672.41
1860,4,715.0,5346.59
1862,4,345.0,4030.37
1867,3,310.0,4647.68
1868,3,260.0,4859.81
1870,4,455.0,5129.65
1872,3,332.162,6150.01
1875,3,427.086,5940.0
1876,4,345.0,4838.71
1881,3,415.0,4560.44
1883,4,339.0,4296.58
1886,4,331.0,4298.7
1888,3,450.0,6000.0
1895,3,395.0,5084.96
1896,3,265.0,4121.31
1900,3,319.0,4310.81
1901,4,810.352,5724.44
1902,3,328.63599999999997,6050.0
1903,3,299.0,3784.81
1904,4,319.0,4833.33
1905,3,299.233,6050.0
1906,4,259.0,3700.0
1910,3,268.0,5056.6
1911,3,290.0,5370.37
1913,3,275.0,5851.06
1914,3,245.0,5104.17
1918,3,235.0,5000.0
1924,3,320.0,5095.54
1926,3,286.83099999999996,6050.01
1931,3,320.0,5975.72
1935,4,429.0,3575.0
1940,3,342.2,5800.0
1941,3,229.0,4053.1
1942,3,259.0,4886.79
1943,3,320.0,4266.67
1944,3,260.0,4887.22
1946,5,375.0,3456.22
1948,3,380.0,5156.04
1949,3,465.0,4773.15
1952,3,330.0,5000.0
1956,3,305.0,5083.33
1962,4,247.7,3371.9
1968,5,579.0,4991.38
1974,3,310.0,4776.58
1980,3,349.0,5132.35
1981,3,280.0,4366.13
1983,4,448.80699999999996,5808.3
1988,4,330.0,4459.46
1998,4,350.0,3500.0
1999,4,391.276,5660.0
2001,3,345.0,4886.69
2002,3,285.0,6038.14
2012,3,338.694,5700.0
2014,4,449.0,4196.26
2015,3,195.7,3558.18
2020,3,368.0,5492.54
2021,4,295.0,4538.46
2022,4,289.0,3400.0
2023,3,340.0,5230.77
2024,3,335.0,4785.71
2026,3,305.0,4919.35
2028,4,499.0,5197.92
2032,3,399.0,4649.27
2036,3,364.935,5580.05
2039,3,330.0,4925.37
2042,3,326.76099999999997,6050.01
2044,3,275.397,6150.0
2045,4,280.0,2443.28
2046,4,462.26300000000003,5654.59
2048,4,490.58099999999996,5848.61
2049,3,260.0,5416.67
2051,3,849.0,6064.29
2053,6,890.0,6137.93
2057,3,216.0,4800.0
2064,4,435.0,5437.5
2065,4,369.101,5760.0
2067,3,349.0,5915.25
2068,3,308.066,6050.0
2070,3,355.0,4493.67
2076,3,354.48,6000.0
2079,4,513.5,5705.56
2082,3,360.0,5651.49
2083,3,385.0,4268.29
2087,6,750.0,4970.18
2091,3,301.452,5511.01
2093,4,325.0,4391.89
2106,4,300.0,4705.14
2108,3,399.0,5134.47
2110,3,310.0,4843.75
2113,3,260.0,4391.89
2116,3,325.07,5810.01
2119,3,290.0,5415.5
2120,4,420.0,4195.8
2122,3,340.439,5560.0
2123,3,409.401,5900.0
2125,4,329.0,4569.44
2131,3,344.0,5512.82
2132,3,299.0,2990.0
2133,3,399.0,5391.89
2134,3,270.0,5882.35
2135,4,455.0,5129.65
2136,4,530.0,5353.54
2137,3,260.0,5416.67
2142,4,558.0,6000.0
2144,4,359.0,4602.56
2146,3,482.5,5078.95
2148,3,450.0,5944.52
2150,4,474.725,5832.0
2154,3,279.0,4982.14
2155,3,274.0,4281.25
2159,4,328.0,4539.16
2160,3,260.0,4391.89
2166,3,325.983,5700.0
2170,3,398.0,4066.62
2171,4,400.0,4545.45
2172,3,385.0,5686.85
2179,3,279.875,6250.0
2180,3,320.0,4776.12
2183,3,353.395,6093.02
2189,4,450.0,3629.03
2192,4,425.0,5000.0
2199,3,295.21,4027.42
2203,3,350.0,5072.46
2205,3,329.0,4984.85
2208,3,288.488,5860.0
2209,3,298.0,4656.25
2210,3,298.0,3386.36
2212,4,499.0,4892.16
2214,3,364.0,5909.09
2216,3,310.0,4843.75
2219,3,265.0,5638.3
2226,3,397.0,4362.64
2229,3,298.0,4656.25
2232,4,396.97900000000004,5760.0
2234,5,690.0,5000.0
2241,3,365.0,4727.98
2242,3,290.0,5800.0
2248,4,365.0,5119.21
2249,3,289.0,3705.13
2250,3,259.0,3158.54
2251,3,360.0,4675.32
2252,4,360.0,4864.86
2255,3,310.0,4230.93
2257,3,319.985,6150.01
2259,3,210.0,3932.58
2265,3,409.0,4397.85
2268,3,307.0,4873.02
2269,3,259.0,4886.79
2274,3,360.0,4424.78
2275,3,315.0,6057.69
2278,3,400.991,5717.01
2279,3,225.0,4817.99
2281,4,380.0,4779.87
2284,3,217.921,3693.58
2288,6,600.0,4000.0
2291,3,272.0,5440.0
2294,3,267.0,5621.05
2295,4,340.0,4802.26
2297,3,215.0,3152.49
2299,4,305.0,4919.35
2300,3,390.0,4382.02
2302,3,380.93199999999996,5940.0
2303,3,285.0,4523.81
2311,4,315.0,3150.0
2314,3,307.0,4723.08
2315,3,280.0,5833.33
2319,5,530.0,6162.79
2321,4,715.0,5500.0
2323,3,303.779,5965.81
2324,3,325.0,5094.04
2326,3,364.935,5588.59
2329,4,340.0,4802.26
2331,3,610.0,5980.39
2340,5,760.0,5555.56
2344,3,383.14300000000003,5924.59
2348,3,225.0,3554.5
2350,3,265.0,5520.83
2354,3,331.816,5900.0
2358,3,245.0,5104.17
2359,3,345.62199999999996,5800.0
2360,3,310.0,4557.48
2363,3,290.0,6170.21
2366,4,407.1,5750.0
2367,3,350.954,6156.01
2375,3,369.0,4472.73
2377,3,308.066,6050.0
2378,3,324.214,5710.0
2382,3,345.0,4515.71
2383,3,370.0,5606.06
2386,3,328.60699999999997,6100.0
2391,3,380.0,5671.64
2395,3,339.0,5485.44
2399,4,350.0,5468.75
2401,3,319.68,6000.0
2404,3,330.0,4074.07
2408,3,329.0,4164.56
2409,3,295.0,4338.24
2410,3,280.0,5477.31
2415,3,310.673,6100.0
2416,3,340.0,5198.78
2420,5,690.0,5000.0
2423,3,400.0,6153.85
2427,4,340.0,4802.26
2429,3,299.0,5436.36
2431,3,265.0,3680.56
2433,3,276.873,6150.0
2436,3,269.0,5604.17
2439,3,263.0,5977.27
2440,3,286.5,5405.66
2443,3,325.0,5078.12
2444,4,375.0,4746.84
2445,4,523.0,5505.26
2447,3,245.0,5072.46
2450,3,320.0,5161.29
2453,3,320.0,5000.0
2454,3,307.0,4730.35
2462,3,424.098,6188.5
2464,3,340.0,5964.91
2466,3,368.0,5492.54
2468,3,275.0,5188.68
2473,3,390.0,5963.3
2476,3,170.85,3329.76
2478,3,313.585,5900.0
2482,4,343.171,5710.0
2491,3,229.0,6026.32
2495,3,275.397,6150.0
2506,3,310.0,4843.75
2509,3,298.0,4783.31
2513,3,362.34,4062.11
2515,3,278.0,5863.74
2518,3,234.0,3336.66
2519,3,290.58799999999997,6150.01
2520,3,295.546,5965.81
2522,3,397.0,4362.64
2524,4,528.18,6000.0
2525,3,394.48699999999997,6100.0
2530,3,395.0,5366.85
2531,4,349.0,4716.22
2536,3,305.0,4810.73
2539,3,459.0,4250.0
2540,3,326.76099999999997,6050.01
2544,4,464.0,5948.72
2546,3,371.0,4076.92
2557,3,299.0,4738.51
2558,3,363.785,5579.52
2560,3,363.13300000000004,6100.0
2563,4,491.82,6000.0
2564,3,360.0,6122.45
2568,3,282.839,5965.81
2573,4,319.0,5063.49
2574,3,359.0,5279.41
2579,3,296.56,5965.8
2595,4,1000.0,6024.1
2597,3,312.0,4394.37
2610,3,320.77,5810.0
2622,4,360.0,4864.86
2629,4,310.0,4177.9
2632,5,499.0,3944.66
2635,3,312.0,4875.0
2636,3,262.0,5000.0
2638,3,281.312,5960.0
2644,3,305.0,4066.67
2645,4,430.0,4122.72
2649,3,278.0,4633.33
2652,3,330.0,5500.0
2655,3,380.0,5937.5
2657,3,344.0,5504.0
2658,3,329.0,4386.67
2659,3,350.0,3804.35
2660,3,264.0,3718.31
2672,5,319.5,5071.43
2676,4,650.0,4082.91
2681,3,350.0,5327.25
2684,3,315.0,4921.88
2687,3,300.0,4087.19
2690,4,435.0,3680.2
2691,5,776.205,5497.2
2695,4,429.0,3575.0
2699,3,298.0,4656.25
2700,3,280.0,4320.99
2703,5,445.0,2828.99
2710,3,385.825,6100.0
2714,3,310.0,4769.23
2717,4,239.9,2527.92
2729,4,768.2,4589.01
2733,3,295.0,6145.83
2734,3,318.0,4575.54
2735,3,315.0,5250.0
2737,3,380.0,5671.64
2738,3,265.0,5602.54
2739,3,288.44599999999997,5965.79
2740,3,345.0,4617.86
2744,3,335.0,5209.95
2748,3,199.0,2894.55
2750,3,297.0,5823.53
2754,3,330.19300000000004,6100.0
2757,4,480.0,5000.0
2758,3,349.0,5629.03
2761,3,324.0,4764.71
2765,3,278.0,4680.13
2766,4,448.185,5507.99
2767,3,243.0,3796.88
2768,3,338.8,5600.0
2774,3,320.0,5000.0
2779,4,495.0,3807.69
2780,3,240.0,3809.52
2782,4,333.0,5203.12
2786,4,449.0,3620.97
2787,3,298.0,4634.53
2794,4,513.5,5705.56
2796,3,419.0,4604.4
2797,3,416.42400000000004,6068.55
2802,4,443.967,5722.7
2803,3,424.958,5902.19
2805,3,375.0,4120.88
2816,3,245.0,5104.17
2819,3,327.0,5369.46
2826,3,359.0,5771.7
2830,3,364.695,6150.0
2832,3,320.0,6037.74
2833,3,321.845,5900.0
2834,3,326.76099999999997,6050.01
2835,4,449.0,3483.32
2841,3,305.0,4552.24
2845,4,369.0,3967.74
2850,3,325.0,4220.78
2852,3,319.0,4430.56
2855,3,321.0,5629.6
2856,4,349.0,4847.22
2858,3,389.0,5058.52
2862,3,389.0,5557.14
2863,3,309.0,4828.12
2864,4,419.0,5237.5
2868,3,303.08299999999997,5900.0
2872,4,350.0,4375.0
2875,3,258.0,4867.92
2876,3,254.5,5346.64
2879,3,308.611,5965.8
2886,4,334.97900000000004,4593.16
2888,4,350.0,4729.73
2889,4,319.0,5071.54
2892,3,339.0,5215.38
2893,3,245.0,5072.46
2898,5,690.0,5149.25
2900,4,470.996,5902.21
2901,3,324.0,4764.71
